mean,std,rms,peak,peak_to_peak,crest_factor,skewness,kurtosis,energy,dominant_freq,dominant_amp,spectral_centroid,band_0_100,band_100_300,band_300_1000,harmonic_150_amp,harmonic_250_amp,transient_800_amp,stft_mean,stft_max,stft_low_energy,stft_mid_energy,stft_high_energy,dwt_cA4_energy,dwt_cA4_std,dwt_cD4_energy,dwt_cD4_std,dwt_cD3_energy,dwt_cD3_std,dwt_cD2_energy,dwt_cD2_std,dwt_cD1_energy,dwt_cD1_std,label,sample_id
-1.1102230246251566e-17,0.7264783991546468,0.7264783991546468,1.0273188419942365,2.0546376839884726,1.4141078980300625,7.2390590870765e-18,-1.5,675.5467064810218,50.0,1.0273956048555966,50.00000000001327,1.0555417288765971,3.166066871061949e-31,2.2463977839629558e-30,9.636748402194423e-17,7.355123255614369e-17,4.8254226100256443e-17,0.007964307014384556,0.5136978024277984,6.729078521588305,2.189354398031086e-30,1.3618008607906029e-29,676.1098698144864,2.8037944783716617,0.30629671032871336,0.05965730331718711,0.10133401792711878,0.02466126337514746,0.010588716587797121,0.005706198038608235,3.303215851014878e-05,0.0002266537925874306,Normal,normal_000
3.3306690738754695e-17,0.7324634832754204,0.7324634832754204,1.035811922816418,2.071623845632836,1.414148208703967,-7.063050389224387e-18,-1.5,686.7235255449116,50.0,1.0358597919911383,50.00000000001384,1.0730055086639243,3.643525496651685e-31,2.290708997894852e-30,7.133493237496538e-17,8.801948231842623e-17,7.592436520884411e-17,0.008029920868148448,0.5179298959955693,6.840410117732519,2.67049773130838e-30,1.3952733968813888e-29,688.3747871664721,2.828956903385116,0.3066830611569105,0.05969392099620565,0.10184512353378047,0.024723513898456936,0.010740572031125998,0.0057469630261586324,3.3616608061014204e-05,0.0002286501332911011,Normal,normal_001
6.106226635438361e-17,0.6784107862597722,0.6784107862597724,0.9594132714222915,1.918826542844583,1.4142069832207906,-3.822438099724992e-16,-1.4999999999999998,589.1087294894112,50.0,0.9594177347887648,50.00000000000998,0.9204823898272047,3.186315701451395e-31,1.989353289205787e-30,6.502268472945721e-17,1.1094924417397184e-16,5.684055227834156e-17,0.0074373467813083375,0.47970886739438257,5.868075235148431,2.2677840246976227e-30,1.198710888177234e-29,592.0279338593302,2.6232919287137504,0.25751131384169285,0.0546985005804043,0.08578827987798807,0.02269116172807354,0.009137454097313962,0.0053007433840019744,2.8701138675790904e-05,0.00021127303789334538,Normal,normal_002
-5.551115123125783e-18,0.7255721465979889,0.7255721465979889,1.0260800966405712,2.0521601932811424,1.4141668770640776,-1.4532436245684553e-17,-1.5,673.8623230960811,50.0,1.0261139701990356,50.00000000001321,1.0529098798376273,3.0115930358319358e-31,2.2545939922969034e-30,7.842715523573467e-17,1.0026880746914488e-16,5.295705180374785e-17,0.007954371862008112,0.5130569850995178,6.7123004839648726,2.1291288200092752e-30,1.3673843610416653e-29,675.9661684119269,2.8032739073496384,0.2990639092990783,0.058947406185720176,0.0994256270187898,0.024428122294091914,0.010518592952326402,0.005687263575103457,3.2959179312405873e-05,0.00022640327674459417,Normal,normal_003
5.551115123125783e-17,0.6808104439699523,0.6808104439699522,0.9627639633909229,1.9255279267818457,1.4141439396484945,-1.4073158950658302e-16,-1.5000000000000002,593.2836615917612,50.0,0.9628113632675547,50.00000000000989,0.9270057212371271,3.2184036436416847e-31,1.9534126884622708e-30,7.949879378481643e-17,7.542693699694242e-17,6.099087282669959e-17,0.007463653978818337,0.4814056816337774,5.909661472886684,2.368924523627559e-30,1.200274565777835e-29,593.8098682002937,2.6276071761577344,0.26884285998367846,0.05589093636213496,0.08895932138458104,0.023106465854566056,0.009299460485141048,0.005347539895007759,2.9014506332746896e-05,0.0002124232780066687,Normal,normal_004
4.9960036108132046e-17,0.6979708218657633,0.6979708218657633,0.9869986666341829,1.9739973332683658,1.4140973171262345,2.4488359385122787e-17,-1.5,623.5689832652404,50.0,0.9870798024232581,50.00000000001155,0.9743265363519382,3.3379999065235735e-31,2.0745047586245015e-30,1.0121180712803193e-16,8.326348776032973e-17,7.861820678132745e-17,0.0076517814141338686,0.4935399012116291,6.211331669243606,2.3933424759592687e-30,1.2654690382283436e-29,626.3401930375351,2.6982881886716648,0.2737081071319361,0.0563926499415583,0.09113938507301944,0.023388120341367384,0.009690475377916476,0.005458795300054448,3.0419110366007875e-05,0.00021750426021797202,Normal,normal_005
5.551115123125783e-18,0.717279581385073,0.717279581385073,1.0142652119106443,2.0285304238212887,1.4140444510502803,0.0,-1.4999999999999998,658.5471972760902,50.0,1.0143865120080666,50.00000000001337,1.0289799957438914,2.8518462813947396e-31,2.2162429794992524e-30,5.683052280779866e-17,8.731129221999201e-17,6.399347770682686e-17,0.00786346133339595,0.5071932560040332,6.559747472867304,2.071994515735981e-30,1.3428271611464348e-29,660.8160623331768,2.771650654357244,0.2914658620829969,0.058193636804252845,0.09694164653872667,0.024121064115876903,0.010269226886909023,0.005619443867283677,3.2192920659076414e-05,0.0002237560069276309,Normal,normal_006
-1.1102230246251566e-17,0.7031055608137406,0.7031055608137406,0.9943265720114801,1.98865314402296,1.4141924448148016,-3.194100902856366e-17,-1.4999999999999996,632.7775099484221,50.0,0.9943414198827332,50.00000000001153,0.9887148592944098,2.8807801695748143e-31,2.107110953990996e-30,7.345551228985901e-17,1.1348162627184107e-16,6.219576317686816e-17,0.007708073022346853,0.49717070994136664,6.303057228001863,2.130886704272199e-30,1.2769795155559438e-29,632.8614383041913,2.7127041418635662,0.28950476568516453,0.05799975406575885,0.0954287990382644,0.023931808818566748,0.009896505958495318,0.00551653676035923,3.0789327543777765e-05,0.0002188238301698382,Normal,normal_007
4.4408920985006264e-17,0.7109665084913995,0.7109665084913995,1.0053983304159022,2.0107966608318044,1.4141289616410255,3.861649156260673e-17,-1.5000000000000002,647.0059215314576,50.0,1.0054584787015837,50.00000000001176,1.010946752392903,3.655645406681298e-31,2.15085207083544e-30,7.284852082447008e-17,1.034882854070428e-16,4.629618777163623e-17,0.007794251772880578,0.5027292393507918,6.444785546504753,2.66694218917069e-30,1.3173224369383957e-29,646.9771598381589,2.74280695963015,0.29746668572776486,0.05879249978997931,0.09774232049631987,0.024220086365014264,0.010077045622849804,0.005566631695124059,3.128526023869291e-05,0.00022057911984532322,Normal,normal_008
0.0,0.7302738035309525,0.7302738035309525,1.032495763138541,2.064991526277082,1.4138474612465886,1.425355082189001e-17,-1.4999999999999993,682.6237799981623,50.0,1.0327631171992582,50.00000000001424,1.0665996562471287,4.548987166109722e-31,2.3273947042863158e-30,6.22624721942959e-17,1.1059695693249398e-16,5.197499071422368e-17,0.008005915637203641,0.5163815585996292,6.799572808575446,2.3215554511472147e-30,1.3956686631690906e-29,683.9422500342494,2.8198804546884024,0.30616066912668527,0.05964331357224765,0.10158171206133455,0.02469148588032359,0.010687758182794074,0.005732817664322789,3.342325854195852e-05,0.00022799163220909893,Normal,normal_009
