Frequency_Hz,Amplitude
0.0,9.272942100497013e-18
5.0,3.2826063685578964e-17
10.0,8.153347504995905e-17
15.0,1.0835206328813255e-16
20.0,3.594868933799079e-17
25.0,2.6679783702412297e-17
30.0,5.089900816974915e-17
35.0,5.4433407380674404e-17
40.0,1.2905252930992877e-16
45.0,3.207373269124455e-16
50.0,1.0
55.0,2.5347458717843206e-16
60.0,2.053717819005725e-16
65.0,9.555276656629399e-17
70.0,1.0397777553070356e-16
75.0,1.1859546053054598e-16
80.0,1.7016876924780753e-16
85.0,1.1405194485224028e-16
90.0,7.772158461282526e-17
95.0,3.659890000537681e-17
100.0,1.322824334197255e-16
105.0,4.61733416926745e-17
110.0,7.828187524117383e-17
115.0,1.4365268475885083e-16
120.0,1.3960883923312305e-16
125.0,8.666239884744486e-17
130.0,9.147354809706436e-17
135.0,1.0659129648575525e-16
140.0,1.5949961921081832e-16
145.0,1.4036568047109207e-16
150.0,0.14999999999999997
155.0,1.0452466764085579e-16
160.0,1.6210759646215997e-16
165.0,1.9025827056351118e-16
170.0,1.3983038357799167e-16
175.0,9.963397315321948e-17
180.0,1.0942805787927443e-16
185.0,1.0019890573180279e-16
190.0,2.3752834325458163e-17
195.0,9.10019494393691e-17
200.0,2.0012153045369432e-16
205.0,6.021262284760881e-17
210.0,7.65749213728756e-17
215.0,5.992093383485741e-17
220.0,1.0529070905242237e-16
225.0,1.692790779887208e-16
230.0,1.7905888495424436e-16
235.0,2.3781819297047513e-16
240.0,3.6454063575508433e-16
245.0,4.235679011136444e-16
250.0,0.09999999999999995
255.0,3.8585452233561364e-16
260.0,2.69811680331828e-16
265.0,4.159539777526656e-17
270.0,1.6679080094304224e-16
275.0,4.33293567780472e-17
280.0,1.2694290462128732e-16
285.0,1.2111084964613633e-16
290.0,1.980809874865715e-17
295.0,9.601480785001713e-17
300.0,1.2059759780531532e-16
305.0,8.201852699249555e-17
310.0,7.933126803878659e-17
315.0,7.289273016867637e-17
320.0,6.164938520898677e-17
325.0,7.988741300289311e-17
330.0,5.977194319196989e-17
335.0,3.4201229073689894e-17
340.0,6.533983377432762e-17
345.0,2.9436535784139005e-17
350.0,5.0595296125181024e-17
355.0,7.330166970454117e-17
360.0,6.621029516047705e-17
365.0,9.318255803560859e-17
370.0,5.4214433977251845e-17
375.0,4.452509793025524e-17
380.0,8.173630102921133e-17
385.0,5.532544820858121e-17
390.0,4.3050289059771794e-17
395.0,2.856101254658148e-17
400.0,4.915411107694811e-17
405.0,1.1040035381481624e-16
410.0,4.837470248864519e-17
415.0,1.06374576799287e-16
420.0,1.2146104044151587e-16
425.0,8.415009674501091e-17
430.0,6.361724409480333e-17
435.0,2.544861299508052e-17
440.0,8.990161118040131e-17
445.0,3.18703852770462e-17
450.0,1.1416269992975775e-16
455.0,5.777144262496855e-17
460.0,6.987583030938825e-17
465.0,4.4273608726493553e-17
470.0,1.1307584609184933e-16
475.0,1.2932719968768296e-17
480.0,6.587963407145016e-17
485.0,6.438389264437123e-17
490.0,5.0081070111778715e-17
495.0,5.479855791247599e-17
500.0,1.7257652781932068e-17
505.0,8.101328118856768e-17
510.0,1.4893571756617379e-16
515.0,2.161190614977951e-16
520.0,3.1337684267061114e-16
525.0,1.8791152830629163e-16
530.0,2.2213762381656106e-17
535.0,2.5786286804155566e-17
540.0,6.283721381690264e-17
545.0,1.3371940053488947e-16
550.0,8.721397110435676e-17
555.0,4.377219202014502e-17
