Frequency_Hz,Amplitude
0.0,5.77061295766951e-18
5.0,2.8715232956296545e-17
10.0,8.642867697046417e-17
15.0,7.299953311470036e-17
20.0,1.613964702972931e-17
25.0,5.0259478098582365e-17
30.0,5.915720492577294e-17
35.0,6.55216650728929e-17
40.0,1.0985497366908874e-16
45.0,2.60653876977149e-16
50.0,1.0
55.0,2.9491720039508854e-16
60.0,1.5875847428986294e-16
65.0,6.720593859877155e-17
70.0,9.658086728431924e-17
75.0,5.459015652742643e-17
80.0,8.20375840970501e-17
85.0,7.951352327383899e-17
90.0,6.602028865263663e-17
95.0,2.1818858323123583e-17
100.0,5.113202911769389e-17
105.0,4.5712485007157104e-17
110.0,1.7676123097722182e-17
115.0,9.057589064201188e-17
120.0,6.121890721324514e-17
125.0,2.939931847143034e-17
130.0,4.527365396892084e-17
135.0,8.9644893694034e-18
140.0,6.741050729575334e-17
145.0,1.2534497603631412e-17
150.0,8.104061354977032e-17
155.0,6.845674109842393e-17
160.0,1.4986138795092643e-16
165.0,2.065753725258764e-16
170.0,1.2518187231626712e-16
175.0,6.050511977649681e-17
180.0,5.828747072601956e-18
185.0,9.329938086642793e-17
190.0,3.6492270515195376e-17
195.0,7.516885262899939e-17
200.0,1.8440552726587534e-16
205.0,5.979875638505642e-17
210.0,1.356510492173555e-17
215.0,2.91331510769064e-17
220.0,4.227953542853778e-17
225.0,7.053901025730711e-17
230.0,3.5434982943015724e-17
235.0,4.761680496745943e-17
240.0,8.028995648378451e-17
245.0,6.40582306936983e-17
250.0,9.93918459996847e-17
255.0,7.624795000698557e-17
260.0,1.296971031466759e-16
265.0,1.8996310222377734e-16
270.0,1.3191502002747612e-16
275.0,7.473743649547917e-17
280.0,7.282507262269566e-17
285.0,7.05046407509704e-17
290.0,2.49833165792623e-17
295.0,4.9497277941467184e-17
300.0,1.4325188258512708e-16
305.0,4.986072475559292e-17
310.0,1.2504653562876098e-17
315.0,2.8382996933714493e-17
320.0,4.578373418657597e-17
325.0,8.39043727547164e-17
330.0,2.1433912295924274e-17
335.0,3.2332231329825487e-17
