model,snr_db,accuracy,precision_macro,recall_macro,f1_macro
SVM,40,0.825,0.7479674796747968,0.8250000000000001,0.7716827798795012
Random Forest,40,0.8138888888888889,0.7282882809198599,0.8138888888888888,0.7579865206983851
SVM,30,0.7555555555555555,0.7198478225675894,0.7555555555555555,0.7146118132021807
Random Forest,30,0.8027777777777778,0.7092490842490843,0.8027777777777777,0.7419909020518777
SVM,20,0.16666666666666666,0.027777777777777776,0.16666666666666666,0.047619047619047616
Random Forest,20,0.65,0.5458728789186079,0.65,0.5694840139284584
SVM,10,0.16666666666666666,0.027777777777777776,0.16666666666666666,0.047619047619047616
Random Forest,10,0.65,0.48573624231518964,0.65,0.5419071289158488
SVM,5,0.16666666666666666,0.027777777777777776,0.16666666666666666,0.047619047619047616
Random Forest,5,0.5416666666666666,0.46695056942875324,0.5416666666666666,0.4674034499777975
SVM,0,0.16666666666666666,0.027777777777777776,0.16666666666666666,0.047619047619047616
Random Forest,0,0.39444444444444443,0.219246731137255,0.39444444444444443,0.27692281763191723
